Iteration,Parameters,Return
407/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0246
408/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0162
409/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0179
410/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0203
411/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",0.0176
412/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0142
413/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0235
414/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0157
415/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0060
416/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0277
417/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0179
418/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0154
419/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0156
420/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0160
421/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0197
422/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0287
423/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",0.0167
424/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0128
425/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0246
426/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0162
427/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0179
428/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0203
429/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",0.0176
430/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0142
431/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0235
432/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0157
433/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0060
434/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0277
435/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0179
436/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0154
437/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0156
438/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0160
439/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0197
440/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0287
441/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",0.0167
442/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0128
443/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0246
444/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0162
445/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0179
446/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0203
447/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",0.0176
448/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0142
449/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0235
450/540,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0157
451/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0041
452/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0288
453/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0187
454/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0190
455/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0145
456/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0074
457/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0156
458/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0222
459/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",0.0152
460/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0140
461/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0212
462/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0153
463/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0144
464/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0194
465/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",0.0123
466/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0077
467/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0176
468/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0076
469/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0041
470/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0288
471/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0187
472/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0190
473/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0145
474/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0074
475/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0156
476/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0222
477/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",0.0152
478/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0140
479/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0212
480/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0153
481/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0144
482/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0194
483/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",0.0123
484/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0077
485/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0176
486/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0076
487/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0041
488/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0288
489/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0187
490/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0190
491/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0145
492/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0074
493/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0156
494/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0222
495/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",0.0152
496/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0140
497/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0212
498/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0153
499/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0144
500/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0194
501/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",0.0123
502/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0077
503/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0176
504/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0076
505/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0041
506/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0288
507/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0187
508/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0190
509/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0145
510/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0074
511/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0156
512/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0222
513/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",0.0152
514/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0140
515/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0212
516/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0153
517/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0144
518/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0194
519/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",0.0123
520/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0077
521/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0176
522/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0076
523/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0041
524/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0288
525/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0187
526/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0190
527/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0145
528/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0074
529/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0156
530/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0222
531/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",0.0152
532/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0140
533/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0212
534/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0153
535/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0144
536/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0194
537/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",0.0123
538/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0077
539/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0176
540/540,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0076
